----	-Cosp-	-Dupl-	-Swit-	-Loss-	-Dist-
1	0.0000	0.0973	0.4180	0.4847	0.2161
6	0.0000	0.1827	0.3230	0.4943	0.2265
10	0.0000	0.1085	0.4089	0.4826	0.2161
12	0.0000	0.1853	0.3133	0.5013	0.2280
14	0.0000	0.1325	0.3760	0.4915	0.2296
21	0.0000	0.0436	0.3335	0.6229	0.2130
24	0.0000	0.0579	0.3191	0.6229	0.2179
26	0.0000	0.1362	0.3811	0.4827	0.2335
30	0.0000	0.1897	0.3095	0.5008	0.2281
33	0.0000	0.1273	0.3632	0.5095	0.2301
36	0.0000	0.1178	0.3673	0.5149	0.2229
39	0.0000	0.1890	0.3130	0.4980	0.2304
41	0.0000	0.1874	0.3163	0.4964	0.2338
46	0.0000	0.1835	0.3200	0.4965	0.2263
48	0.0000	0.1033	0.4133	0.4834	0.2136
25	0.0005	0.0673	0.5389	0.3932	0.2253
49	0.0005	0.1104	0.4165	0.4726	0.2243
17	0.0006	0.1872	0.3137	0.4985	0.2304
20	0.0010	0.1142	0.3714	0.5133	0.2315
50	0.0011	0.1398	0.3572	0.5019	0.2342
28	0.0018	0.1209	0.3721	0.5053	0.2307
40	0.0024	0.1961	0.3041	0.4973	0.2318
4	0.0029	0.1885	0.3218	0.4868	0.2329
7	0.0030	0.1077	0.4135	0.4759	0.2242
45	0.0572	0.0000	0.5026	0.4402	0.2236
15	0.0613	0.0000	0.5027	0.4360	0.2232
8	0.0666	0.0000	0.4992	0.4343	0.2203
18	0.0667	0.0000	0.4954	0.4379	0.2218
44	0.0688	0.0000	0.5040	0.4273	0.2260
11	0.0692	0.0000	0.4971	0.4338	0.2161
3	0.0702	0.0000	0.4976	0.4322	0.2211
19	0.0769	0.0000	0.4502	0.4729	0.2276
Summar	------	------	------	------	------
Min	0.0000	0.0000	0.3041	0.3932	0.2130
Q1	0.0000	0.0327	0.3213	0.4645	0.2216
Med	0.0005	0.1123	0.3740	0.4892	0.2262
Mean	0.0172	0.1023	0.3948	0.4857	0.2253
Q3	0.0165	0.1829	0.4615	0.5009	0.2304
Max	0.0769	0.1961	0.5389	0.6229	0.2342
Normal	------	------	------	------	------
Nmed	0.0005	0.1151	0.3832	0.5012	------
Nmean	0.0172	0.1023	0.3948	0.4857	------
